TCID,NUM ASEGURADOS,PRIMA ESPERADA,FLUJO,TIPO,RUN,CLAVE,RIESGO,TIPO DE DEDUCIBLE,TIPO DE COASEGURO,PLAN,MONEDA,FECHA SOLICITUD,FECHA EFECTO,CONDUCTO DE COBRO,FORMA DE PAGO,AGENTE,PARTICIPACION,DEDUCIBLE,DEDUCIBLE EN EXCESO,COASEGURO,GURA,SUMA ASEGURADA,TF,GF,CAE,CEC,CEE,CEDA,DENTAL,CEDA PREM,CRFCA,AMCDC,AMCDA1,AMCDA2,AMCDA3,AMCDA4,AMCDA5,AMCDA6,AMCDA7,AMCDA8,AMCDA9,AMCDA10,CETTEC,CETTEA1,CETTEA2,CETTEA3,CETTEA4,CETTEA5,CETTEA6,CETTEA7,CETTEA8,CETTEA9,CETTEA10,DNIC,DNIA1,DNIA2,DNIA3,DNIA4,DNIA5,DNIA6,DNIA7,DNIA8,DNIA9,DNIA10,CMAC,CMAA1,CMAA2,CMAA3,CMAA4,CMAA5,CMAA6,CMAA7,CMAA8,CMAA9,CMAA10,POLIZA
19,2,172171.44398805004,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,25000,NO,10,50,600000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,DULHANBRA19860101M01,CLAMOSBAR19860101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
20,2,127211.43722519613,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,29000,NO,15,0,700000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CRUGRAZUB19850101M01,DANBAZANZ19850101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
21,2,99375.34538243478,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,35000,NO,20,25,800000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,DAVALAMEN19840101M01,DIEACUGAX19840101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,7,32085.389517040003,emision,GMM,0,CG-111-X,Ambos,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,41000,NO,5,25,170000000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,EDUPACVIL19830101M01,ELEORARIC19830101H01,EFRHOLPLA20060101H01,ELIBREMAN20100101H01,ELIMANRES20140101H01,ESPMILZEN20180101H01,EMIBERLEI20220101H01,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
23,2,101197.42958529908,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,47000,NO,10,50,1000000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,ESTMELDEL19820101M01,EVADELSAN19820101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
24,2,113056.97921032333,emision,GMM,0,CG-111-X,NO,UNI,UNI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,53000,NO,10,50,1500000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FELBAEREE19810101M01,FLOAPOALB19810101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
25,2,71699.17878903312,emision,GMM,0,CG-111-X,Ambos,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,77000,NO,20,50,2500000,TF,GF,NO,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FRIMADALE19790101M01,GABHODNAT19790101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
26,11,90438.60180845924,emision,GMM,0,CG-111-X,NO,REI,REI,INTEGRO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,96000,NO,5,0,170000000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,NO,NO,NO,AMCD,AMCD,AMCD,NO,AMCD,NO,NO,CETTE,CETTE,NO,CETTE,CETTE,CETTE,CETTE,NO,NO,NO,NO,ENRMAENUN19780101M01,ERNPIZJOS19780101H01,ESTCOTLYN19920101H01,EUGVIETOM20000101M01,FABMOJCHA20070101H01,FEDESPDEH20070101M01,GLOALCJAU20080101M01,FELALCAGU20110101M01,GRAANDBRI20150101M01,FELANDSAN20190101M01,INEARZULL20250101H01,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,
27,8,135371.38339934126,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,109000,SI,10,25,4000000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,AMCD,NO,AMCD,AMCD,AMCD,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FERASCPAL19770101M01,ISABATGOV19770101H01,FRABATPAL20080101H01,JAVBORCER20110101M01,GERBOSDUQ20120101H01,GILCORDIA20150101M01,GREYEPBEN20160101H01,GUIMONLAN20190101M01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
28,6,16053.980700000002,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,100000,SI,10,25,7500000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,AMCD,NO,NO,AMCD,NO,NO,NO,NO,NO,CETTE,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,HERMOTOBR19760101M01,HERCARANT19760101H01,JUACACARR20070101M01,HORCADCAR20200101H01,JUACARBAR20210101M01,HUGCARSAL20230101H01,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,
29,9,93767.50778,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,200000,SI,15,50,40000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,JULCORAPO19750101M01,HUMCORCAL19750101H01,JULDELROD20090101M01,IGNDELGUE20100101H01,JAIWALMAL20130101M01,KATHAWROM20140101H01,JAVSUAROD20170101M01,LANPALGAM20220101M01,LAUDORORN20240101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
30,2,45293.478565561636,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,300000,SI,20,50,200000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LEAMURDAV19740101M01,LINOLMMAD19740101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
31,2,35677.18579564656,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,400000,SI,25,50,300000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOLSOLBAR19730101M01,JOAGONQUI19730101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
32,2,49494.50457607346,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,500000,SI,10,50,400000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LORDORONT19720101M01,JORDOUPAC19720101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
33,2,70497.94550529645,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,700000,SI,15,25,600000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,JOSPEROLI19700101M01,LUIMENPAG19700101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
34,2,86446.85501712498,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,800000,SI,20,25,700000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,JOEFAVBER19690101M01,LUZINFCAR19690101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
35,2,59271.43617470065,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,900000,SI,25,50,800000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,JUAKINVEL19680101M01,MARVILFEL19680101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
36,2,72907.26544,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,1000000,SI,10,50,900000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MARFARMOR19670101M01,JULFAVSED19670101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
37,2,752093.6988270826,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,25000,NO,10,50,1000000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MARBARROM19660101M01,LEOBUEZAB19660101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
38,2,671107.4973691048,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,29000,NO,15,50,1500000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MARNEGFER19650101M01,LORMARGIL19650101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
39,2,492465.2227364483,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,35000,NO,20,0,2000000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MARGARZAM19640101M01,LUIGARLOR19640101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
40,2,338583.6740203052,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,41000,NO,25,25,2500000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MARCARECH19630101M01,MANCHAROD19630101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
41,2,100163.18384575707,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,53000,NO,10,50,4000000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,MAYFRATIN19750101M01,MARALFBAL19810101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
42,11,1995373.6990204626,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO INT,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,25000,NO,10,0,200000,NO,NO,CAE,CEC,CEE,CEDA,NO,NO,NO,AMCD,NO,AMCD,NO,NO,NO,AMCD,AMCD,AMCD,NO,NO,CETTE,NO,NO,NO,NO,CETTE,CETTE,CETTE,CETTE,NO,NO,MERLLATAV20060101M01,MIRQUIINF19870101H01,MARIBALAZ19630101M01,NADGRIEDW19650101H01,MARGROBOL20060101H01,NATHILBOY20070101M01,MARHINHUE20140101H01,NINJOSMOR20180101H01,MAUJOSALA20220101M01,OLIMAEBOR20240101H01,MATMAEGRE20250101H01,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,
