TCID,NUM ASEGURADOS,PRIMA ESPERADA,FLUJO,TIPO,RUN,CLAVE,RIESGO,TIPO DE DEDUCIBLE,TIPO DE COASEGURO,PLAN,MONEDA,FECHA SOLICITUD,FECHA EFECTO,CONDUCTO DE COBRO,FORMA DE PAGO,AGENTE,PARTICIPACION,DEDUCIBLE,DEDUCIBLE EN EXCESO,COASEGURO,GURA,SUMA ASEGURADA,TF,GF,CAE,CEC,CEE,CEDA,DENTAL,CEDA PREM,CRFCA,AMCDC,AMCDA1,AMCDA2,AMCDA3,AMCDA4,AMCDA5,AMCDA6,AMCDA7,AMCDA8,AMCDA9,AMCDA10,CETTEC,CETTEA1,CETTEA2,CETTEA3,CETTEA4,CETTEA5,CETTEA6,CETTEA7,CETTEA8,CETTEA9,CETTEA10,DNIC,DNIA1,DNIA2,DNIA3,DNIA4,DNIA5,DNIA6,DNIA7,DNIA8,DNIA9,DNIA10,CMAC,CMAA1,CMAA2,CMAA3,CMAA4,CMAA5,CMAA6,CMAA7,CMAA8,CMAA9,CMAA10,POLIZA
11,7,53611.4174435338,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,200000,SI,15,50,2500000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,AMCD,AMCD,AMCD,NO,NO,AMCD,NO,NO,NO,NO,NO,CETTE,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19880212M,PRUGASNOT19880212H,PRUGASNOT20000212M,PRUGASNOT20040212M,PRUGASNOT20080212M,PRUGASNOT20120212M,PRUGASNOT20160212M,,,,,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,
12,2,28614.012137260135,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,300000,SI,20,50,3000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19870212M,PRUGASNOT19870212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
13,7,38098.42989141334,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,400000,SI,25,50,4000000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,AMCD,AMCD,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,CETTE,NO,CETTE,NO,NO,NO,CETTE,NO,NO,NO,NO,PRUGASTIT19860212M,PRUGASNOT19860212H,PRUGASNOT20010212H,PRUGASNOT20050212H,PRUGASNOT20090212H,PRUGASNOT20130212H,PRUGASNOT20170212H,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
14,2,18810.067544099104,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,500000,SI,10,0,5000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19850212M,PRUGASNOT19850212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
15,2,28532.832609308505,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,600000,SI,10,25,20000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19840212M,PRUGASNOT19840212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
16,7,263975.1056778477,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,25000,NO,15,25,200000,TF,GF,CAE,CEC,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,AMCD,AMCD,AMCD,NO,NO,NO,NO,CETTE,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19830212M,PRUGASNOT19830212H,PRUGASNOT19990212M,PRUGASNOT20030212M,PRUGASNOT20070212M,PRUGASNOT20110212M,PRUGASNOT20150212M,,,,,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,
17,7,163716.68138236608,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,35000,NO,25,50,400000,TF,GF,CAE,CEC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,CETTE,NO,CETTE,NO,CETTE,CETTE,NO,NO,NO,NO,PRUGASTIT19810212M,PRUGASNOT19810212H,PRUGASNOT20000212H,PRUGASNOT20040212H,PRUGASNOT20080212H,PRUGASNOT20120212H,PRUGASNOT20160212H,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
18,2,84270.1935946842,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,41000,NO,10,50,500000,TF,GF,CAE,CEC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19800212M,PRUGASNOT19800212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
19,2,172171.44398805004,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,25000,NO,10,50,600000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19790212M,PRUGASNOT19790212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
20,2,127211.43722519613,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,29000,NO,15,0,700000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19780212M,PRUGASNOT19780212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
21,2,99375.34538243478,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,35000,NO,20,25,800000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19770212M,PRUGASNOT19770212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
22,7,32085.389517040003,emision,GMM,0,CG-111-X,Ambos,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,41000,NO,5,25,170000000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19760212M,PRUGASNOT19760212H,PRUGASNOT19990212H,PRUGASNOT20030212H,PRUGASNOT20070212H,PRUGASNOT20110212H,PRUGASNOT20150212H,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
23,2,101197.42958529908,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,47000,NO,10,50,1000000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19750212M,PRUGASNOT19750212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
24,2,113056.97921032333,emision,GMM,0,CG-111-X,NO,UNI,UNI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,53000,NO,10,50,1500000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19740212M,PRUGASNOT19740212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
25,2,71699.17878903312,emision,GMM,0,CG-111-X,Ambos,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,77000,NO,20,50,2500000,TF,GF,NO,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19720212M,PRUGASNOT19720212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
26,11,90438.60180845924,emision,GMM,0,CG-111-X,NO,REI,REI,INTEGRO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,96000,NO,5,0,170000000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,NO,NO,NO,AMCD,AMCD,AMCD,NO,AMCD,NO,NO,CETTE,CETTE,NO,CETTE,CETTE,CETTE,CETTE,NO,NO,NO,NO,PRUGASTIT19710212M,PRUGASNOT19710212H,PRUGASNOT19850212H,PRUGASNOT19930212M,PRUGASNOT20000212H,PRUGASNOT20000212M,PRUGASNOT20010212M,PRUGASNOT20040212M,PRUGASNOT20080212M,PRUGASNOT20120212M,PRUGASNOT20180212H,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,
27,8,135371.38339934126,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,109000,NO,10,25,4000000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,AMCD,NO,AMCD,AMCD,AMCD,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19700212M,PRUGASNOT19700212H,PRUGASNOT20010212H,PRUGASNOT20040212M,PRUGASNOT20050212H,PRUGASNOT20080212M,PRUGASNOT20090212H,PRUGASNOT20120212M,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
28,6,16053.980700000002,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,100000,NO,10,25,7500000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,AMCD,NO,NO,AMCD,NO,NO,NO,NO,NO,CETTE,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19690212M,PRUGASNOT19690212H,PRUGASNOT20000212M,PRUGASNOT20130212H,PRUGASNOT20140212M,PRUGASNOT20160212H,,,,,,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,
29,9,98560.81440686143,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,200000,SI,15,50,40000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19680212M,PRUGASNOT19680212H,PRUGASNOT20020212M,PRUGASNOT20030212H,PRUGASNOT20060212M,PRUGASNOT20070212H,PRUGASNOT20100212M,PRUGASNOT20150212M,PRUGASNOT20170212H,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
30,2,47602.477513757585,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,300000,SI,20,50,200000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19670212M,PRUGASNOT19670212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
31,2,37338.14283856794,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,400000,SI,25,50,300000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19660212M,PRUGASNOT19660212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
32,2,52005.61693294216,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,500000,SI,10,50,400000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19650212M,PRUGASNOT19650212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
33,2,72421.75219363542,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,700000,SI,15,25,600000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19630212M,PRUGASNOT19630212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
34,2,87889.54461822099,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,800000,SI,20,25,700000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19620212M,PRUGASNOT19620212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
35,2,60578.4558338815,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,900000,SI,25,50,800000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19610212M,PRUGASNOT19610212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
36,2,74976.44831633322,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,1000000,SI,10,50,900000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19600212M,PRUGASNOT19600212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
37,2,752093.6988270826,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,25000,NO,10,50,1000000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19590212M,PRUGASNOT19590212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
38,2,671107.4973691048,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,29000,NO,15,50,1500000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19580212M,PRUGASNOT19580212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
39,2,492465.2227364483,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,35000,NO,20,0,2000000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19570212M,PRUGASNOT19570212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
40,2,338583.6740203052,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,41000,NO,25,25,2500000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19560212M,PRUGASNOT19560212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
41,2,100163.18384575707,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,53000,NO,10,50,4000000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19680212M,PRUGASNOT19740212H,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
42,11,1995373.6990204626,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO INT,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,25000,NO,10,0,200000,NO,NO,CAE,CEC,CEE,CEDA,NO,NO,NO,AMCD,NO,AMCD,NO,NO,NO,AMCD,AMCD,AMCD,NO,NO,CETTE,NO,NO,NO,NO,CETTE,CETTE,CETTE,CETTE,NO,NO,PRUGASTIT19990212M,PRUGASNOT19800212H,PRUGASNOT19560212M,PRUGASNOT19580212H,PRUGASNOT19990212H,PRUGASNOT20000212M,PRUGASNOT20070212H,PRUGASNOT20110212H,PRUGASNOT20150212M,PRUGASNOT20170212H,PRUGASNOT20180212H,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,
43,11,321409.8401089114,emision,GMM,0,CG-111-X,Ambos,ANU,UNI,PLENO INT,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,29000,NO,10,0,300000,TF,GF,CAE,CEC,CEE,CEDA,DP,NO,NO,AMCD,AMCD,NO,AMCD,NO,AMCD,NO,NO,NO,NO,AMCD,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,PRUGASTIT19980212M,PRUGASNOT19980212H,PRUGASNOT20000212M,PRUGASNOT20010212H,PRUGASNOT20020212M,PRUGASNOT20020212H,PRUGASNOT20040212M,PRUGASNOT20050212H,PRUGASNOT20080212M,PRUGASNOT20090212M,PRUGASNOT20150212M,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,
44,9,237250.84910190248,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO INT,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,35000,NO,15,0,400000,TF,GF,CAE,CEC,CEE,CEDA,NO,NO,NO,AMCD,NO,AMCD,NO,AMCD,AMCD,NO,AMCD,AMCD,NO,NO,CETTE,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,PRUGASTIT19970212M,PRUGASNOT19970212H,PRUGASNOT20000212M,PRUGASNOT20000212H,PRUGASNOT20090212M,PRUGASNOT20120212H,PRUGASNOT20130212M,PRUGASNOT20140212H,PRUGASNOT20160212M,,,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,
45,2,86665.23104176535,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO INT,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,41000,NO,20,0,500000,TF,GF,CAE,CEC,CEE,CEDA,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19960212M,PRUGASNOT19960212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
